,referenceTime,sourceId
245,2020-12-01T00:00:00.000Z,SN17820:0
246,2020-12-01T00:00:00.000Z,SN91380:0
247,2020-12-01T00:00:00.000Z,SN18233:0
248,2020-12-01T00:00:00.000Z,SN44520:0
249,2020-12-01T00:00:00.000Z,SN46090:0
250,2020-12-01T00:00:00.000Z,SN44610:0
251,2020-12-01T00:00:00.000Z,SN55735:0
252,2020-12-01T00:00:00.000Z,SN17775:0
253,2020-12-01T00:00:00.000Z,SN64330:0
254,2020-12-01T00:00:00.000Z,SN39200:0
255,2020-12-01T00:00:00.000Z,SN31520:0
256,2020-12-01T00:00:00.000Z,SN63630:0
257,2020-12-01T00:00:00.000Z,SN24890:0
258,2020-12-01T00:00:00.000Z,SN82130:0
259,2020-12-01T00:00:00.000Z,SN51940:0
260,2020-12-01T00:00:00.000Z,SN40510:0
261,2020-12-01T00:00:00.000Z,SN91120:0
262,2020-12-01T00:00:00.000Z,SN64590:0
263,2020-12-01T00:00:00.000Z,SN12960:0
264,2020-12-01T00:00:00.000Z,SN50570:0
265,2020-12-01T00:00:00.000Z,SN54320:0
266,2020-12-01T00:00:00.000Z,SN64970:0
267,2020-12-11T00:00:00.000Z,SN31855:0
268,2020-12-01T00:00:00.000Z,SN17850:0
269,2020-12-01T00:00:00.000Z,SN57030:0
270,2020-12-01T00:00:00.000Z,SN27261:0
271,2020-12-01T00:00:00.000Z,SN37570:0
272,2020-12-01T00:00:00.000Z,SN32061:0
273,2020-12-01T00:00:00.000Z,SN90360:0
274,2020-12-02T00:00:00.000Z,SN4455:0
275,2020-12-01T00:00:00.000Z,SN27010:0
276,2020-12-01T00:00:00.000Z,SN65275:0
277,2020-12-01T00:00:00.000Z,SN57990:0
278,2020-12-01T00:00:00.000Z,SN59210:0
279,2020-12-01T00:00:00.000Z,SN50310:0
280,2020-12-01T00:00:00.000Z,SN85040:0
281,2020-12-01T00:00:00.000Z,SN51530:0
282,2020-12-01T00:00:00.000Z,SN16845:0
283,2020-12-01T00:00:00.000Z,SN12700:0
284,2020-12-01T00:00:00.000Z,SN26750:0
285,2020-12-01T00:00:00.000Z,SN58860:0
286,2020-12-01T00:00:00.000Z,SN79253:0
287,2020-12-01T00:00:00.000Z,SN50175:0
288,2020-12-01T00:00:00.000Z,SN50830:0
289,2020-12-01T00:00:00.000Z,SN3190:0
290,2020-12-01T00:00:00.000Z,SN50525:0
291,2020-12-01T00:00:00.000Z,SN43895:0
292,2020-12-01T00:00:00.000Z,SN45770:0
293,2020-12-01T00:00:00.000Z,SN56895:0
294,2020-12-01T00:00:00.000Z,SN59820:0
295,2020-12-01T00:00:00.000Z,SN5370:0
296,2020-12-01T00:00:00.000Z,SN17150:0
297,2020-12-01T00:00:00.000Z,SN18020:0
298,2020-12-01T00:00:00.000Z,SN50507:0
299,2020-12-01T00:00:00.000Z,SN73466:0
300,2020-12-01T00:00:00.000Z,SN67150:0
301,2020-12-01T00:00:00.000Z,SN84905:0
302,2020-12-01T00:00:00.000Z,SN55720:0
303,2020-12-01T00:00:00.000Z,SN76750:0
304,2020-12-01T00:00:00.000Z,SN90800:0
305,2020-12-01T00:00:00.000Z,SN52535:0
306,2020-12-01T00:00:00.000Z,SN86520:0
307,2020-12-01T00:00:00.000Z,SN18980:0
308,2020-12-01T00:00:00.000Z,SN39750:0
309,2020-12-01T00:00:00.000Z,SN63705:0
310,2020-12-01T00:00:00.000Z,SN52750:0
311,2020-12-01T00:00:00.000Z,SN27315:0
312,2020-12-01T00:00:00.000Z,SN19940:0
313,2020-12-01T00:00:00.000Z,SN69420:0
314,2020-12-01T00:00:00.000Z,SN33990:0
315,2020-12-01T00:00:00.000Z,SN1135:0
316,2020-12-01T00:00:00.000Z,SN30249:0
317,2020-12-01T00:00:00.000Z,SN62700:0
318,2020-12-01T00:00:00.000Z,SN90100:0
319,2020-12-01T00:00:00.000Z,SN27055:0
320,2020-12-01T00:00:00.000Z,SN90450:0
321,2020-12-01T00:00:00.000Z,SN35210:0
