,DATE,PRISOMRÅDE,VOLUM_KWH
421,2020-12-01,NO2,208036026.596
422,2020-12-01,NO3,74024219.195
423,2020-12-01,NO4,90939109.054
424,2020-12-01,NO5,127346305.32100001
425,2020-12-02,NO1,58267891.114
426,2020-12-02,NO2,206071363.588
427,2020-12-02,NO3,69379333.797
428,2020-12-02,NO4,81329092.179
429,2020-12-02,NO5,123302034.969
430,2020-12-03,NO1,54711382.745
431,2020-12-03,NO2,195844907.543
432,2020-12-03,NO3,74091197.488
433,2020-12-03,NO4,74095124.351
434,2020-12-03,NO5,118349522.117
435,2020-12-04,NO1,54259745.616
436,2020-12-04,NO2,203008995.126
437,2020-12-04,NO3,79216946.268
438,2020-12-04,NO4,94029247.002
439,2020-12-04,NO5,115416814.177
440,2020-12-05,NO1,56365569.273
441,2020-12-05,NO2,192159998.676
442,2020-12-05,NO3,72347319.367
443,2020-12-05,NO4,94616609.571
444,2020-12-05,NO5,117005689.315
445,2020-12-06,NO1,52536650.405
446,2020-12-06,NO2,174621770.104
447,2020-12-06,NO3,72380676.478
448,2020-12-06,NO4,95559488.222
449,2020-12-06,NO5,103757995.022
450,2020-12-07,NO1,52058325.367
451,2020-12-07,NO2,180343335.256
452,2020-12-07,NO3,76125458.726
453,2020-12-07,NO4,94461808.4
454,2020-12-07,NO5,98198650.656
455,2020-12-08,NO1,59818537.676
456,2020-12-08,NO2,203203563.401
457,2020-12-08,NO3,77841450.359
458,2020-12-08,NO4,97318589.447
459,2020-12-08,NO5,123117395.625
460,2020-12-09,NO1,61359624.905
461,2020-12-09,NO2,212760657.88
462,2020-12-09,NO3,75826036.137
463,2020-12-09,NO4,100353210.513
464,2020-12-09,NO5,129960417.558
465,2020-12-10,NO1,63892983.317
466,2020-12-10,NO2,223284585.58
467,2020-12-10,NO3,73409678.696
468,2020-12-10,NO4,95189727.729
469,2020-12-10,NO5,126811423.73900001
470,2020-12-11,NO1,64248945.061
471,2020-12-11,NO2,227431268.45
472,2020-12-11,NO3,78831888.1
473,2020-12-11,NO4,97680554.567
474,2020-12-11,NO5,118104652.818
475,2020-12-12,NO1,64265824.734
476,2020-12-12,NO2,213185915.632
477,2020-12-12,NO3,72529543.649
478,2020-12-12,NO4,97744587.248
479,2020-12-12,NO5,121822375.619
480,2020-12-13,NO1,63328391.523
481,2020-12-13,NO2,214564924.42700002
482,2020-12-13,NO3,71944304.583
483,2020-12-13,NO4,97439100.201
484,2020-12-13,NO5,122277955.98
485,2020-12-14,NO1,62566936.259
486,2020-12-14,NO2,215910801.613
487,2020-12-14,NO3,75661045.651
488,2020-12-14,NO4,97251747.407
489,2020-12-14,NO5,116611175.82699999
490,2020-12-15,NO1,63556830.138
491,2020-12-15,NO2,207554204.834
492,2020-12-15,NO3,72660414.457
493,2020-12-15,NO4,99661506.83500001
494,2020-12-15,NO5,117202399.601
495,2020-12-16,NO1,62901276.064
496,2020-12-16,NO2,202781276.094
497,2020-12-16,NO3,72583504.504
498,2020-12-16,NO4,99937409.155
499,2020-12-16,NO5,120660868.519
500,2020-12-17,NO1,64595431.182
501,2020-12-17,NO2,193649062.8
502,2020-12-17,NO3,78107195.063
503,2020-12-17,NO4,102719399.309
504,2020-12-17,NO5,114448046.655
505,2020-12-18,NO1,65708405.449
506,2020-12-18,NO2,185003798.179
507,2020-12-18,NO3,74770873.802
508,2020-12-18,NO4,101024084.426
509,2020-12-18,NO5,104937033.765
510,2020-12-19,NO1,62095757.553
511,2020-12-19,NO2,148750643.297
512,2020-12-19,NO3,82286514.615
513,2020-12-19,NO4,91328238.895
514,2020-12-19,NO5,85651019.623
515,2020-12-20,NO1,60204821.028000005
516,2020-12-20,NO2,143985997.165
517,2020-12-20,NO3,74082028.443
518,2020-12-20,NO4,84589591.854
519,2020-12-20,NO5,78600238.677
520,2020-12-21,NO1,63101692.099
521,2020-12-21,NO2,168402903.796
522,2020-12-21,NO3,66127610.581
523,2020-12-21,NO4,88941477.998
524,2020-12-21,NO5,95912969.527
525,2020-12-22,NO1,65170813.305
526,2020-12-22,NO2,161007693.415
527,2020-12-22,NO3,68880020.423
528,2020-12-22,NO4,81276508.779
529,2020-12-22,NO5,98844332.86500001
530,2020-12-23,NO1,69837215.059
531,2020-12-23,NO2,172060861.12
532,2020-12-23,NO3,84223487.987
533,2020-12-23,NO4,87333478.306
534,2020-12-23,NO5,118345153.024
535,2020-12-24,NO1,69868610.277
536,2020-12-24,NO2,147787917.294
537,2020-12-24,NO3,75982446.065
538,2020-12-24,NO4,80674238.75999999
539,2020-12-24,NO5,102223206.371
540,2020-12-25,NO1,71863747.798
541,2020-12-25,NO2,159705951.331
542,2020-12-25,NO3,71987976.264
543,2020-12-25,NO4,97896966.204
544,2020-12-25,NO5,113732700.575
545,2020-12-26,NO1,69608580.47
546,2020-12-26,NO2,141629181.13
547,2020-12-26,NO3,75879331.993
548,2020-12-26,NO4,87358099.84799999
549,2020-12-26,NO5,100571514.20199999
550,2020-12-27,NO1,56162117.278
551,2020-12-27,NO2,103744630.432
552,2020-12-27,NO3,61252839.607
553,2020-12-27,NO4,42728893.115
554,2020-12-27,NO5,58012242.725999996
555,2020-12-28,NO1,65351926.302
556,2020-12-28,NO2,158856345.211
557,2020-12-28,NO3,79836507.567
558,2020-12-28,NO4,87798241.225
559,2020-12-28,NO5,109487599.39500001
560,2020-12-29,NO1,67758061.794
561,2020-12-29,NO2,170027107.924
562,2020-12-29,NO3,80497173.083
563,2020-12-29,NO4,100653183.534
564,2020-12-29,NO5,118376007.024
565,2020-12-30,NO1,67449594.163
566,2020-12-30,NO2,177282840.816
567,2020-12-30,NO3,81115401.494
568,2020-12-30,NO4,96271417.671
569,2020-12-30,NO5,116510635.025
570,2020-12-31,NO1,65903067.288
571,2020-12-31,NO2,184310327.965
572,2020-12-31,NO3,76631968.108
573,2020-12-31,NO4,99877180.986
574,2020-12-31,NO5,112053576.106
575,2021-01-01,NO1,65811990.743
576,2021-01-01,NO2,188421959.404
577,2021-01-01,NO3,79208416.66
578,2021-01-01,NO4,99064664.365
579,2021-01-01,NO5,120275657.288
580,2021-01-02,NO1,67429376.045
581,2021-01-02,NO2,194858409.334
582,2021-01-02,NO3,80732690.139
583,2021-01-02,NO4,98969219.49599999
584,2021-01-02,NO5,125318369.361
585,2021-01-03,NO1,66812240.244
586,2021-01-03,NO2,184405135.301
587,2021-01-03,NO3,69336280.619
588,2021-01-03,NO4,97889777.711
589,2021-01-03,NO5,113854974.902
590,2021-01-04,NO1,66818577.212
591,2021-01-04,NO2,204794304.442
592,2021-01-04,NO3,74044807.317
593,2021-01-04,NO4,102232354.507
594,2021-01-04,NO5,132542819.84200001
595,2021-01-05,NO1,62531971.03
596,2021-01-05,NO2,214674468.947
597,2021-01-05,NO3,73051696.73
598,2021-01-05,NO4,98845259.92999999
599,2021-01-05,NO5,145887472.237
600,2021-01-06,NO1,62135681.773
601,2021-01-06,NO2,208211478.074
602,2021-01-06,NO3,79180505.183
603,2021-01-06,NO4,100867717.998
604,2021-01-06,NO5,143519330.824
605,2021-01-07,NO1,65416070.713
606,2021-01-07,NO2,210206904.643
607,2021-01-07,NO3,89213854.343
608,2021-01-07,NO4,103791246.48099999
609,2021-01-07,NO5,141883647.987
610,2021-01-08,NO1,66788467.185
611,2021-01-08,NO2,205824008.41
612,2021-01-08,NO3,80098786.539
613,2021-01-08,NO4,103939452.55
614,2021-01-08,NO5,136280875.272
615,2021-01-09,NO1,67990125.853
616,2021-01-09,NO2,205995785.836
617,2021-01-09,NO3,89232154.917
618,2021-01-09,NO4,100681701.45899999
619,2021-01-09,NO5,140035889.936
620,2021-01-10,NO1,65471241.868
621,2021-01-10,NO2,188524386.161
622,2021-01-10,NO3,85543451.38
623,2021-01-10,NO4,103753387.39
624,2021-01-10,NO5,121246278.117
625,2021-01-11,NO1,64790813.885
626,2021-01-11,NO2,184781383.844
627,2021-01-11,NO3,78117899.321
628,2021-01-11,NO4,104782265.295
629,2021-01-11,NO5,122784040.542
630,2021-01-12,NO1,65725765.660000004
631,2021-01-12,NO2,196983766.808
632,2021-01-12,NO3,81308011.374
633,2021-01-12,NO4,92437314.311
634,2021-01-12,NO5,118995231.307
635,2021-01-13,NO1,65330852.625
636,2021-01-13,NO2,197865456.187
637,2021-01-13,NO3,74598547.448
638,2021-01-13,NO4,96428734.376
639,2021-01-13,NO5,116648344.269
640,2021-01-14,NO1,65236181.151
641,2021-01-14,NO2,202029341.546
642,2021-01-14,NO3,73440083.949
643,2021-01-14,NO4,98049569.453
644,2021-01-14,NO5,139489420.722
645,2021-01-15,NO1,68112533.323
646,2021-01-15,NO2,209459035.13
647,2021-01-15,NO3,61638980.85
648,2021-01-15,NO4,87956812.48099999
649,2021-01-15,NO5,155725197.931
650,2021-01-16,NO1,66455601.578999996
651,2021-01-16,NO2,220330036.78
652,2021-01-16,NO3,83061773.501
653,2021-01-16,NO4,93230903.47399999
654,2021-01-16,NO5,148637949.474
655,2021-01-17,NO1,65673872.225999996
656,2021-01-17,NO2,213985403.883
657,2021-01-17,NO3,77949756.833
658,2021-01-17,NO4,95156821.894
659,2021-01-17,NO5,143428873.022
660,2021-01-18,NO1,63746623.23
661,2021-01-18,NO2,204414231.944
662,2021-01-18,NO3,87230365.962
663,2021-01-18,NO4,99462352.339
664,2021-01-18,NO5,140627434.563
665,2021-01-19,NO1,61681403.188
666,2021-01-19,NO2,195147776.455
667,2021-01-19,NO3,86070055.604
668,2021-01-19,NO4,103700942.109
669,2021-01-19,NO5,125100158.492
670,2021-01-20,NO1,59384215.866
671,2021-01-20,NO2,187731192.949
672,2021-01-20,NO3,83725277.244
673,2021-01-20,NO4,99704136.144
674,2021-01-20,NO5,99050042.554
675,2021-01-21,NO1,58364067.524
676,2021-01-21,NO2,157873138.09600002
677,2021-01-21,NO3,70698889.429
678,2021-01-21,NO4,85336746.169
679,2021-01-21,NO5,70512133.043
680,2021-01-22,NO1,59554169.803
681,2021-01-22,NO2,156788111.711
682,2021-01-22,NO3,64777493.526
683,2021-01-22,NO4,80198903.153
684,2021-01-22,NO5,77090256.032
685,2021-01-23,NO1,58074149.566
686,2021-01-23,NO2,179147507.051
687,2021-01-23,NO3,66196590.659
688,2021-01-23,NO4,88232628.901
689,2021-01-23,NO5,100860298.515
690,2021-01-24,NO1,58598210.526
691,2021-01-24,NO2,196341921.43
692,2021-01-24,NO3,79596611.539
693,2021-01-24,NO4,90364730.162
694,2021-01-24,NO5,131391532.152
695,2021-01-25,NO1,61118875.175
696,2021-01-25,NO2,211221139.252
697,2021-01-25,NO3,76033397.998
698,2021-01-25,NO4,94786446.544
699,2021-01-25,NO5,138143493.255
700,2021-01-26,NO1,60750614.492
701,2021-01-26,NO2,211562432.864
702,2021-01-26,NO3,86096551.579
703,2021-01-26,NO4,98157919.90799999
704,2021-01-26,NO5,137457211.139
705,2021-01-27,NO1,62461947.025
706,2021-01-27,NO2,205727930.406
707,2021-01-27,NO3,83754603.82800001
708,2021-01-27,NO4,101697265.619
709,2021-01-27,NO5,136578558.407
710,2021-01-28,NO1,62140271.697
711,2021-01-28,NO2,200041318.883
712,2021-01-28,NO3,87743249.795
713,2021-01-28,NO4,104087008.146
714,2021-01-28,NO5,127533099.065
715,2021-01-29,NO1,61448898.573
716,2021-01-29,NO2,196923075.088
717,2021-01-29,NO3,94191776.319
718,2021-01-29,NO4,103882898.964
719,2021-01-29,NO5,128523571.385
720,2021-01-30,NO1,61042487.615
721,2021-01-30,NO2,193768635.592
722,2021-01-30,NO3,69604188.713
723,2021-01-30,NO4,99231043.177
724,2021-01-30,NO5,118928492.783
725,2021-01-31,NO1,58596941.091
