,DATE,PRISOMRÅDE,VOLUM_KWH,ANTALL_MÅLEPUNKT
282,2021-02-25,NO3,78647019.462,12462139.0
283,2021-02-25,NO4,51122333.146,7934184.0
284,2021-02-25,NO5,48667905.9,7724275.0
285,2021-02-26,NO1,111277202.618,30786359.0
286,2021-02-26,NO2,110303211.792,19044837.0
287,2021-02-26,NO3,79058459.53,12462020.0
288,2021-02-26,NO4,51605905.73,7934180.0
289,2021-02-26,NO5,48549416.316,7724711.0
290,2021-02-27,NO1,108491887.313,30786337.0
291,2021-02-27,NO2,107039744.895,19044767.0
292,2021-02-27,NO3,76622840.102,12461926.0
293,2021-02-27,NO4,49551141.996,7934084.0
294,2021-02-27,NO5,47651426.117,7724688.0
295,2021-02-28,NO1,103087161.84,30786504.0
296,2021-02-28,NO2,104910225.363,19044813.0
297,2021-02-28,NO3,75017433.527,12461885.0
298,2021-02-28,NO4,47579903.297,7934019.0
299,2021-02-28,NO5,47016548.047,7724753.0
300,2021-03-01,NO1,115787357.576,30789834.0
301,2021-03-01,NO2,111127754.1,19046435.0
302,2021-03-01,NO3,79782977.661,12461996.0
303,2021-03-01,NO4,52051454.058,7934659.0
304,2021-03-01,NO5,49538358.81,7726275.0
305,2021-03-02,NO1,108836111.971,30790315.0
306,2021-03-02,NO2,109548545.276,19047284.0
307,2021-03-02,NO3,79018465.05,12461906.0
308,2021-03-02,NO4,52754075.276,7935102.0
309,2021-03-02,NO5,49023569.394,7726927.0
310,2021-03-03,NO1,117798648.137,30791868.0
311,2021-03-03,NO2,113567210.652,19048328.0
312,2021-03-03,NO3,81047522.376,12462007.0
313,2021-03-03,NO4,54236779.929,7935256.0
314,2021-03-03,NO5,49914601.063,7727653.0
315,2021-03-04,NO1,119912642.083,30792188.0
316,2021-03-04,NO2,114063351.466,19049115.0
317,2021-03-04,NO3,85932022.194,12463304.0
318,2021-03-04,NO4,54727230.407,7935638.0
319,2021-03-04,NO5,51610120.432,7727980.0
320,2021-03-05,NO1,120453959.84200001,30793209.0
321,2021-03-05,NO2,115419815.643,19050277.0
322,2021-03-05,NO3,85332958.283,12464024.0
323,2021-03-05,NO4,55273950.059,7935949.0
324,2021-03-05,NO5,52045011.484,7728628.0
325,2021-03-06,NO1,112971875.056,30793416.0
326,2021-03-06,NO2,109854240.572,19050016.0
327,2021-03-06,NO3,81817608.859,12463654.0
328,2021-03-06,NO4,53685482.643,7935694.0
329,2021-03-06,NO5,49731876.837,7728719.0
330,2021-03-07,NO1,111523391.126,30793475.0
331,2021-03-07,NO2,108228259.393,19049867.0
332,2021-03-07,NO3,81467094.08,12463628.0
333,2021-03-07,NO4,53103210.8,7935674.0
334,2021-03-07,NO5,49781468.165,7728707.0
335,2021-03-08,NO1,124958792.28999999,30794945.0
336,2021-03-08,NO2,116158750.902,19050709.0
337,2021-03-08,NO3,87496399.055,12464122.0
338,2021-03-08,NO4,56493980.859,7936288.0
339,2021-03-08,NO5,52455270.894,7728982.0
340,2021-03-09,NO1,118585758.047,30797028.0
341,2021-03-09,NO2,116010854.678,19051602.0
342,2021-03-09,NO3,84017210.382,12464947.0
343,2021-03-09,NO4,57468832.406,7936661.0
344,2021-03-09,NO5,50928712.455,7729502.0
345,2021-03-10,NO1,130686999.167,30797429.0
346,2021-03-10,NO2,120463505.866,19052575.0
347,2021-03-10,NO3,85862706.197,12465956.0
348,2021-03-10,NO4,57661341.802,7936781.0
349,2021-03-10,NO5,52607488.912,7729829.0
350,2021-03-11,NO1,129635050.957,30800376.0
351,2021-03-11,NO2,117847174.778,19052754.0
352,2021-03-11,NO3,84747507.821,12466449.0
353,2021-03-11,NO4,56952256.926,7936904.0
354,2021-03-11,NO5,51271733.703999996,7729968.0
355,2021-03-12,NO1,117234622.11,30802027.0
356,2021-03-12,NO2,112360376.266,19053154.0
