,DATE,PRISOMRÅDE,FORBRUK_KWH,ANTALL_MÅLEPUNKT,PRODUKSJON_KWH,NETTO_PRODUKSJON_KWH
140,2021-01-28,NO1,157350404.406,30744752.0,62140271.697,-95210132.70899999
141,2021-01-28,NO2,134260433.12,19031335.0,200041318.883,65780885.76299998
142,2021-01-28,NO3,88379840.872,12453246.0,87743249.795,-636591.0769999921
143,2021-01-28,NO4,60177917.006,7929477.0,104087008.146,43909091.14
144,2021-01-28,NO5,59599682.29,7706807.0,127533099.065,67933416.775
145,2021-01-29,NO1,160537904.4,30746590.0,61448898.573,-99089005.827
146,2021-01-29,NO2,134363774.413,19032027.0,196923075.088,62559300.67500001
147,2021-01-29,NO3,90588684.386,12453373.0,94191776.319,3603091.9329999983
148,2021-01-29,NO4,62126057.782,7929404.0,103882898.964,41756841.182000004
149,2021-01-29,NO5,58172556.675,7707335.0,128523571.385,70351014.71000001
150,2021-01-30,NO1,153018993.339,30746546.0,61042487.615,-91976505.72399998
151,2021-01-30,NO2,127858182.297,19031539.0,193768635.592,65910453.295
152,2021-01-30,NO3,86828176.979,12453116.0,69604188.713,-17223988.266000003
153,2021-01-30,NO4,59443740.07,7929308.0,99231043.177,39787303.107
154,2021-01-30,NO5,55417787.797,7707312.0,118928492.783,63510704.98600001
155,2021-01-31,NO1,151018474.99,30746708.0,58596941.091,-92421533.89900002
156,2021-01-31,NO2,125471695.883,19031431.0,193852769.863,68381073.98
157,2021-01-31,NO3,85610174.092,12453049.0,69573587.598,-16036586.493999988
158,2021-01-31,NO4,58589363.478,7929223.0,94789968.709,36200605.231000006
159,2021-01-31,NO5,54659967.422,7707329.0,115327335.466,60667368.04400001
160,2021-02-01,NO1,159816277.889,30749468.0,60926630.682,-98889647.207
161,2021-02-01,NO2,130305846.623,19031645.0,203004661.223,72698814.6
162,2021-02-01,NO3,90688752.653,12453645.0,74092541.171,-16596211.481999993
163,2021-02-01,NO4,60087146.39,7929387.0,92638018.009,32550871.619000003
164,2021-02-01,NO5,58413292.737,7707741.0,132242092.375,73828799.638
165,2021-02-02,NO1,158528627.634,30751725.0,61478475.097,-97050152.537
166,2021-02-02,NO2,133772984.952,19032890.0,208203152.48,74430167.52799998
167,2021-02-02,NO3,94133581.529,12454148.0,71924330.885,-22209250.643999994
168,2021-02-02,NO4,60449290.017,7929458.0,96785773.979,36336483.962000005
169,2021-02-02,NO5,59210364.504,7708278.0,139249142.856,80038778.352
170,2021-02-03,NO1,156459969.919,30755044.0,60163356.625,-96296613.294
171,2021-02-03,NO2,134706103.598,19033513.0,199232307.955,64526204.35700002
172,2021-02-03,NO3,96942546.293,12454613.0,79272232.079,-17670314.214
173,2021-02-03,NO4,60958319.401,7929503.0,96528277.253,35569957.852000006
174,2021-02-03,NO5,60101919.362,7709568.0,117683793.58,57581874.217999995
175,2021-02-04,NO1,162644793.589,30756833.0,61717695.641,-100927097.94799998
176,2021-02-04,NO2,138464617.66,19034099.0,204215463.973,65750846.31299999
177,2021-02-04,NO3,99764258.178,12454743.0,60888745.374000005,-38875512.804
178,2021-02-04,NO4,59176031.887,7929497.0,91442259.161,32266227.273999996
179,2021-02-04,NO5,60669824.162,7710699.0,128364065.391,67694241.229
180,2021-02-05,NO1,160660281.152,30757775.0,62041643.181,-98618637.97100002
181,2021-02-05,NO2,138502704.342,19034345.0,221617423.8,83114719.458
182,2021-02-05,NO3,98895979.412,12455080.0,57336099.231,-41559880.181
183,2021-02-05,NO4,57716657.987,7929884.0,90543781.367,32827123.379999995
184,2021-02-05,NO5,60804640.229,7711320.0,132235493.391,71430853.162
185,2021-02-06,NO1,150803180.844,30757751.0,56055037.405,-94748143.43900001
186,2021-02-06,NO2,131876840.556,19034179.0,173912626.635,42035786.078999996
187,2021-02-06,NO3,94412882.916,12454893.0,54863346.476,-39549536.43999999
188,2021-02-06,NO4,55496475.129,7929789.0,87428282.676,31931807.547
189,2021-02-06,NO5,58773578.88,7711320.0,105269917.062,46496338.182000004
190,2021-02-07,NO1,149778989.231,30757825.0,53535226.269,-96243762.96200001
191,2021-02-07,NO2,131445079.872,19034078.0,159092082.759,27647002.88700001
192,2021-02-07,NO3,93204440.631,12454825.0,50754973.664000005,-42449466.96699999
193,2021-02-07,NO4,54527117.286,7929725.0,93012789.476,38485672.19
194,2021-02-07,NO5,58639092.835,7711330.0,94295094.242,35656001.407
195,2021-02-08,NO1,156146668.515,30760139.0,57659347.256,-98487321.25899999
196,2021-02-08,NO2,136971992.813,19034457.0,208480602.45,71508609.637
197,2021-02-08,NO3,98203173.622,12454860.0,63537505.361,-34665668.26099999
198,2021-02-08,NO4,57547295.597,7929843.0,94989787.971,37442492.374
199,2021-02-08,NO5,60607326.399,7711603.0,130916909.106,70309582.70700002
200,2021-02-09,NO1,155131238.633,30762112.0,58340308.792,-96790929.84099999
201,2021-02-09,NO2,136895891.499,19035791.0,220840891.239,83944999.73999998
202,2021-02-09,NO3,97041740.42,12455132.0,71176728.429,-25865011.990999997
203,2021-02-09,NO4,59009045.845,7929917.0,96404388.72,37395342.875
204,2021-02-09,NO5,60089509.431,7712619.0,138499010.886,78409501.45500001
205,2021-02-10,NO1,158565988.26,30763675.0,60064223.08,-98501765.17999999
206,2021-02-10,NO2,138468663.81,19036345.0,214822475.788,76353811.97799999
